repo/framework;files;lines;blanks;comments;linesOfCode;
angular/angular;7871;858631;115837;123449;619345;
expressjs/express;191;25433;4619;2839;17975;
dotnet/aspnetcore;17416;2199842;281366;232931;1685545;
vuejs/vue;480;87627;7858;6331;73438;
angular/angular.js;1232;326488;37266;37050;252172;
django/django;3697;535141;98716;24395;412030;
pallets/flask;196;31468;7445;823;23200;
laravel/framework;1470;233882;35066;65589;133227;
rails/rails;3265;484742;86440;54717;343585;
symfony/symfony;7785;983046;96858;115402;770786;
gatsbyjs/gatsby;4163;727073;74626;15047;637400;